Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day_Perc_Change,Trend,Lower Band,Middle Band,Upper Band
2017-05-15,GMRINFRA,EQ,16.6,16.7,17.7,16.7,17.6,17.55,17.15,51996656,891657894.35,11922,29960644,57.62,5.722891566265056,Among top gainers,,,
2017-05-16,GMRINFRA,EQ,17.55,17.6,17.7,17.05,17.35,17.4,17.38,18797177,326723844.0,10494,5716554,30.41,-0.8547008547008628,Slight negative,,,
2017-05-17,GMRINFRA,EQ,17.4,17.4,17.7,17.25,17.25,17.3,17.4,14686157,255570151.25,8448,4250771,28.94,-0.5747126436781436,Slight negative,,,
2017-05-18,GMRINFRA,EQ,17.3,17.15,17.25,16.65,16.75,16.75,16.94,17050095,288900438.15,9429,5476423,32.12,-3.179190751445093,Among top losers,,,
2017-05-19,GMRINFRA,EQ,16.75,16.85,17.35,16.6,17.0,16.95,16.96,22080313,374440580.75,9355,2110450,9.56,1.1940298507462588,Positive,,,
2017-05-22,GMRINFRA,EQ,16.95,17.1,17.25,16.65,16.7,16.8,16.92,13103012,221739115.15,6187,1690943,12.9,-0.8849557522123797,Slight negative,,,
2017-05-23,GMRINFRA,EQ,16.8,16.7,16.75,15.6,15.75,15.9,16.14,27678783,446774134.05,14512,7544503,27.26,-5.35714285714286,Among top losers,,,
2017-05-24,GMRINFRA,EQ,15.9,15.9,16.0,14.25,14.6,14.55,15.01,34309492,515072625.05,22645,6123558,17.85,-8.490566037735848,Bull run,,,
2017-05-25,GMRINFRA,EQ,14.55,14.7,15.4,14.45,15.25,15.2,15.08,29769387,448799076.75,18513,9617533,32.31,4.4673539518900185,Among top gainers,,,
2017-05-26,GMRINFRA,EQ,15.2,15.3,16.05,15.15,15.95,15.95,15.7,17886317,280852804.6,10010,4255974,23.79,4.9342105263157965,Among top gainers,,,
2017-05-29,GMRINFRA,EQ,15.95,16.0,16.15,14.7,14.8,14.8,15.14,19771246,299397689.2,16182,6085479,30.78,-7.210031347962376,Bull run,,,
2017-05-30,GMRINFRA,EQ,14.8,14.45,15.15,14.2,14.9,15.0,14.71,22808916,335470548.4,17394,6882926,30.18,1.3513513513513375,Positive,,,
