Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day_Perc_Change,Trend
GMRINFRA,EQ,2017-09-18,17.9,18.05,18.5,18.0,18.15,18.15,18.26,32069481,585598204.95,13989,6442997,20.09,1.3966480446927276,Positive
GMRINFRA,EQ,2017-09-19,18.15,18.2,18.3,17.95,18.05,18.05,18.09,17824803,322421904.85,7373,3787516,21.25,-0.550964187327807,Slight negative
GMRINFRA,EQ,2017-09-20,18.05,18.1,18.15,17.8,17.9,17.85,17.96,12686099,227856415.5,5628,2890108,22.78,-1.1080332409972304,Negative
GMRINFRA,EQ,2017-09-21,17.85,17.95,18.0,17.05,17.6,17.5,17.53,23417290,410532426.85,9430,4101002,17.51,-1.9607843137254943,Negative
GMRINFRA,EQ,2017-09-22,17.5,17.55,17.55,16.65,16.75,16.75,17.01,30559550,519741673.75,12623,7932998,25.96,-4.285714285714281,Among top losers
GMRINFRA,EQ,2017-09-25,16.75,16.85,16.9,16.05,16.45,16.45,16.4,24581843,403127521.75,10916,4325119,17.59,-1.7910447761194104,Negative
GMRINFRA,EQ,2017-09-26,16.45,16.6,16.75,16.25,16.6,16.55,16.48,18129513,298775387.1,7186,3242539,17.89,0.6079027355623268,Slight positive
GMRINFRA,EQ,2017-09-27,16.55,16.7,16.9,15.8,15.9,15.95,16.47,30030564,494721639.75,12756,3466103,11.54,-3.625377643504535,Among top losers
GMRINFRA,EQ,2017-09-28,15.95,15.95,16.1,15.4,15.9,15.95,15.84,40951868,648513671.4,13220,5753859,14.05,0.0,Slight or No change
GMRINFRA,EQ,2017-09-29,15.95,16.1,16.6,16.0,16.6,16.4,16.29,27492006,447872770.7,10467,7516279,27.34,2.8213166144200663,Positive
GMRINFRA,EQ,2017-10-03,16.4,16.7,16.95,16.3,16.35,16.45,16.53,15473913,255832257.05,7231,2340723,15.13,0.3048780487804992,Slight or No change
